CUENTA;NOMBRE;NATURALEZA;ESTADO
150899;AJUSTES POR INFLACION;DB;ACTIVO
150899;CUENTA AJUSTES NIIF;DB;ACTIVO
1512;MAQUINARIA Y EQUIPOS EN MONTAJE;DB;ACTIVO
151205;MAQUINARIA Y EQUIPO;DB;ACTIVO
151210;EQUIPO DE OFICINA;DB;ACTIVO
151215;EQUIPO DE COMPUTACION Y COMUNICACION;DB;ACTIVO
151220;EQUIPO MEDICO-CIENTIFICO;DB;ACTIVO
151225;EQUIPO DE HOTELES Y RESTAURANTES;DB;ACTIVO
151230;FLOTA Y EQUIPO DE TRANSPORTE;DB;ACTIVO
151235;FLOTA Y EQUIPO FLUVIAL Y/O MARITIMO;DB;ACTIVO
151240;FLOTA Y EQUIPO AEREO;DB;ACTIVO
151245;FLOTA Y EQUIPO FERREO;DB;ACTIVO
151250;PLANTAS Y REDES;DB;ACTIVO
151299;AJUSTES POR INFLACION;DB;ACTIVO
151299;CUENTA AJUSTES NIIF;DB;ACTIVO
1516;CONSTRUCCIONES Y EDIFICACIONES;DB;ACTIVO
151605;EDIFICIOS;DB;ACTIVO
151610;OFICINAS;DB;ACTIVO
151615;ALMACENES;DB;ACTIVO
151620;FABRICAS Y PLANTAS INDUSTRIALES;DB;ACTIVO
151625;SALAS DE EXHIBICION Y VENTAS;DB;ACTIVO
151630;CAFETERIA Y CASINOS;DB;ACTIVO
151635;SILOS;DB;ACTIVO
151640;INVERNADEROS;DB;ACTIVO
151645;CASETAS Y CAMPAMENTOS;DB;ACTIVO
151650;INSTALACIONES AGROPECUARIAS;DB;ACTIVO
151655;VIVIENDAS PARA EMPLEADOS Y OBREROS;DB;ACTIVO
151660;TERMINAL DE BUSES Y TAXIS;DB;ACTIVO
151663;TERMINAL MARITIMO;DB;ACTIVO
151665;TERMINAL FERREO;DB;ACTIVO
151670;PARQUEADEROS/ GARAJES Y DEPOSITOS;DB;ACTIVO
151675;HANGARES;DB;ACTIVO
151680;BODEGAS;DB;ACTIVO
151695;OTROS;DB;ACTIVO
151699;AJUSTES POR INFLACION;DB;ACTIVO
151699;CUENTA AJUSTES NIIF;DB;ACTIVO
1520;MAQUINARIA Y EQUIPO;DB;ACTIVO
152099;AJUSTES POR INFLACION;DB;ACTIVO
152099;CUENTA AJUSTES NIIF;DB;ACTIVO
1524;EQUIPO DE OFICINA;DB;ACTIVO
152405;MUEBLES Y ENSERES;DB;ACTIVO
152410;EQUIPOS;DB;ACTIVO
152495;OTROS;DB;ACTIVO
152499;AJUSTES POR INFLACION;DB;ACTIVO
152499;CUENTA AJUSTES NIIF;DB;ACTIVO
1528;EQUIPO DE COMPUTACION Y COMUNICACION;DB;ACTIVO
152805;EQUIPOS DE PROCESAMIENTO DE DATOS;DB;ACTIVO
152810;EQUIPOS DE TELECOMUNICACIONES;DB;ACTIVO
152815;EQUIPOS DE RADIO;DB;ACTIVO
152820;SATELITES Y ANTENAS;DB;ACTIVO
152825;LINEAS TELEFONICAS;DB;ACTIVO
152895;OTROS;DB;ACTIVO
152899;AJUSTES POR INFLACION;DB;ACTIVO
152899;CUENTA AJUSTES NIIF;DB;ACTIVO
1532;EQUIPO MEDICO - CIENTIFICO;DB;ACTIVO
153205;MEDICO;DB;ACTIVO
153210;ODONTOLOGICO;DB;ACTIVO
153215;LABORATORIO;DB;ACTIVO
153220;INSTRUMENTAL;DB;ACTIVO
153295;OTROS;DB;ACTIVO
